Id,Model,Price,Age_08_04,KM,Fuel_Type,HP,Met_Color,Automatic,cc,Doors,Quarterly_Tax,Weight
22,TOYOTA Corolla 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors,16950,29,43905,Petrol,110,0,1,1600,3,100,1170
23,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,28,56349,Petrol,110,1,0,1600,3,85,1120
24, TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,32220,Petrol,110,1,0,1600,3,85,1120
25,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16250,29,25813,Petrol,110,1,0,1600,3,85,1120
26,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15950,25,28450,Petrol,110,1,0,1600,3,85,1120
27, TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17495,27,34545,Petrol,110,1,0,1600,3,85,1120
28,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15750,29,41415,Petrol,110,1,0,1600,3,85,1120
29,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,28,44142,Petrol,110,0,0,1600,3,85,1120
30,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17950,30,11090,Petrol,110,1,0,1600,3,85,1120
31, TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,12950,29,9750,Petrol,97,1,0,1400,3,19,1100
32,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,22,35199,Petrol,97,1,0,1400,3,85,1100
33,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,27,29510,Petrol,97,1,0,1400,3,85,1100
34, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,14950,26,32692,Petrol,97,1,0,1400,3,85,1100
35, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15500,22,41000,Petrol,97,1,0,1400,3,85,1100
36,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,26,43000,Petrol,97,0,0,1400,3,85,1100
37,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,25,25000,Petrol,97,0,0,1400,3,85,1100
38,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,14950,23,10000,Petrol,97,1,0,1400,3,85,1100
39,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,15750,32,25329,Petrol,97,1,0,1400,3,85,1100
40, TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,14750,27,27500,Petrol,97,0,0,1400,3,85,1100
41, TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,49059,Petrol,97,0,0,1400,3,85,1100
42,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,16750,27,44068,Petrol,97,1,0,1400,3,85,1100
43,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,22,46961,Petrol,97,0,0,1400,3,85,1100
44,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,27,110404,Diesel,90,0,0,2000,5,234,1255
45,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,22,100250,Diesel,90,0,0,2000,5,234,1255
46, TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,19000,23,84000,Diesel,90,0,0,2000,5,234,1270
47,TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors,17950,27,79375,Diesel,90,1,0,2000,5,234,1255
48,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15800,22,75048,Petrol,97,1,0,1400,5,85,1110
49, TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,72215,Diesel,90,1,0,2000,5,234,1255
50,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,21950,31,64982,Petrol,192,1,0,1800,5,100,1195
51,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,22,62636,Diesel,90,1,0,2000,5,234,1255
52, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15750,30,57086,Petrol,97,1,0,1400,5,85,1110
53,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,20500,26,56000,Petrol,110,1,1,1600,5,100,1180
54,TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,21950,27,49866,Petrol,192,1,0,1800,5,100,1195
55, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,15500,25,49163,Petrol,110,0,1,1600,5,100,1165
56, TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13250,32,45725,Petrol,110,1,0,1600,5,85,1075
57,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15250,28,43210,Petrol,97,0,0,1400,5,85,1110
58,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15250,26,43000,Petrol,97,0,0,1400,5,85,1110
59, TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,18950,23,39704,Petrol,110,1,1,1600,5,100,1180
60, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,15999,30,38950,Petrol,110,1,0,1600,5,85,1130
61,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,37400,Petrol,97,1,0,1400,5,85,1110
62, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16500,27,37177,Petrol,110,0,0,1600,5,85,1130
63,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,36544,Petrol,110,1,0,1600,5,85,1130
64,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17950,30,33511,Petrol,110,1,0,1600,5,85,1130
65,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17950,27,32809,Petrol,97,1,0,1400,5,85,1110
66,TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,16950,26,32181,Petrol,110,1,0,1600,5,19,1075
67,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,30993,Petrol,110,1,0,1600,5,85,1130
68,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,22,30400,Petrol,97,1,0,1400,5,85,1110
69,TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,22250,22,30000,Diesel,110,1,0,2000,5,234,1275
70,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,25,29719,Petrol,97,1,0,1400,5,85,1110
71, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,28,29206,Petrol,97,1,0,1400,5,85,1110
72,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,12995,32,29198,Petrol,97,1,0,1400,5,85,1060
73, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,28,28817,Petrol,110,1,0,1598,5,85,1130
74, TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15750,23,28227,Petrol,97,1,0,1400,5,85,1110
75, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,28,28000,Petrol,110,0,0,1600,5,85,1130
76,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16950,23,28000,Petrol,110,1,0,1600,5,85,1115
77,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,31,25266,Petrol,110,1,0,1600,5,85,1130
78,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,18450,27,23489,Petrol,110,0,0,1600,5,85,1115
79,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16895,29,22575,Petrol,110,1,0,1600,5,85,1115
80,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,14900,30,22000,Petrol,97,1,0,1400,5,85,1110
81,TOYOTA Corolla 1.6 5drs 1 4/5-Doors,18950,25,20019,Petrol,110,1,1,16000,5,100,1180
82,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,17250,29,20000,Petrol,110,1,0,1600,5,85,1115
83, TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15450,25,17003,Petrol,97,1,0,1400,5,85,1110
84,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,17950,31,16238,Petrol,110,1,1,1600,5,100,1180
85, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16650,25,15414,Petrol,97,1,0,1400,5,85,1110
86,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17450,28,8537,Petrol,110,1,0,1600,5,85,1130
87, TOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors,14900,30,7000,Petrol,97,1,0,1400,5,85,1100
88,TOYOTA Corolla 2.0 D4D 90 3DR TERRA COMF BNS 2/3-Doors,17950,20,66966,Diesel,90,1,0,2000,3,210,1245
89,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,51884,Petrol,97,1,0,1400,3,85,1100
90,TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors,21950,19,50005,Diesel,110,1,0,2000,3,234,1265
91,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16450,20,48110,Petrol,97,1,0,1400,3,85,1100
92, TOYOTA Corolla 2.0 D4D 90 3DR SOL BNS 2/3-Doors,22250,20,37500,Diesel,90,1,0,2000,3,234,1260
93,TOYOTA Corolla 2.0 D 4D Linea Sol 3 Doors 2/3-Doors,19950,16,34472,Diesel,90,1,0,1995,3,234,1260
94,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,20,33329,Petrol,97,1,0,1400,3,85,1100
95,TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors,18900,20,31850,Petrol,110,0,0,1600,3,85,1120
96,TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors,19950,17,30351,Diesel,90,1,0,1995,3,234,1260
97, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,29435,Petrol,97,1,0,1400,3,85,1100
98,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,19,25948,Petrol,97,1,0,1400,3,85,1100
99,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18750,11,24500,Petrol,110,1,0,1600,3,85,1120
100,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17450,18,23902,Petrol,97,1,0,1400,3,85,1100
101, TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18990,20,23175,Petrol,110,1,0,1600,3,85,1120
102, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16250,19,19200,Petrol,97,1,0,1400,3,85,1100
103,TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,18500,13,18000,Petrol,71,0,0,1400,3,85,1125
104,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,18500,11,16123,Petrol,110,1,0,1600,3,85,1105
105,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors,19450,11,14635,Petrol,110,1,1,1600,3,100,1155
106, TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16950,19,13748,Petrol,97,1,0,1400,3,85,1100
107, TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 2/3-Doors,18800,14,11500,Petrol,110,1,0,1600,3,69,1045
108,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,17450,17,10000,Petrol,97,1,0,1400,3,85,1100
109, TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17950,20,7187,Petrol,110,1,0,1600,3,85,1105
110, TOYOTA Corolla VERSO 2.0 D4D SOL (7) BNS MPV,32500,4,1,Diesel,116,0,0,2000,5,283,1480
111,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31000,4,4000,Diesel,116,1,0,2000,5,283,1480
112,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,31275,4,1500,Diesel,116,1,0,2000,5,283,1480
113, TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,13253,Diesel,116,1,0,2000,5,234,1320
114,TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,24950,8,13253,Diesel,116,1,0,2000,5,234,1320
115,TOYOTA Corolla 2.0 D4D 116 5DR LUNA 4/5-Doors,22950,7,10000,Diesel,116,1,0,2000,5,234,1270
116,TOYOTA Corolla 2.0 D4D 90 WAGON SOL Stationwagen,24990,8,6000,Diesel,90,1,0,2000,5,234,1280
117, TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,21950,8,10841,Diesel,90,1,0,2000,5,234,1270
118,TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,17900,7,1,Petrol,110,1,0,1600,3,85,1105
119,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,19250,20,63000,Diesel,90,1,0,2000,5,234,1255
120,TOYOTA Corolla 2.0 D4D 110 5DR EXEC BNS 4/5-Doors,22250,17,57313,Diesel,110,1,0,2000,5,234,1275
121,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,13,57037,Petrol,110,0,0,1600,5,85,1115
122, TOYOTA Corolla 2.0 D4D Linea Terra Comfort 4/5-Doors,19950,19,51099,Diesel,90,1,0,2000,5,234,1255
123, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16350,14,40010,Petrol,110,1,0,1600,5,85,1115
124,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,20,39115,Petrol,110,1,0,1600,5,85,1130
125,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16950,17,36012,Petrol,110,0,0,1600,5,85,1130
126,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,16,36000,Petrol,110,1,0,1600,5,85,1130
127,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,15950,20,36000,Petrol,110,1,0,1600,5,19,1075
128,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,35000,Petrol,97,1,0,1400,5,85,1110
129,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,17950,17,33740,Petrol,97,1,0,1400,5,85,1135
130,TOYOTA Corolla 1.6 vvt-i nw model comfort airco 5drs 4/5-Doors,15850,13,33477,Petrol,110,1,0,1600,5,19,1075
131,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,20,32627,Petrol,97,1,0,1400,5,85,1110
132, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15950,20,29797,Petrol,97,1,0,1400,5,85,1110
133,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16250,19,29441,Petrol,97,1,0,1400,5,85,1110
134,TOYOTA Corolla 1 6-16v VVT-i Linea Terra Comfort Airco 5drs 4/5-Doors,15950,13,29371,Petrol,110,1,0,1600,4,19,1105
135, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,20,29000,Petrol,97,0,0,1400,5,85,1110
136,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16500,19,27821,Petrol,97,0,0,1400,5,85,1110
137,TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,18450,19,27371,Petrol,97,0,0,1400,5,85,1135
138, TOYOTA Corolla 1.6 terra comfort 5drs airco 4/5-Doors,16250,13,25170,Petrol,110,1,0,1600,5,19,1105
139,TOYOTA Corolla Luna 5drs D4D116 PK 4/5-Doors,23000,11,25000,Diesel,116,1,0,2000,5,64,1320
140,TOYOTA Corolla 1.6i 16V VVT I SOL + Navigatie 4/5-Doors,19900,20,23000,Petrol,110,1,0,1600,5,85,1130
141,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16450,20,22588,Petrol,97,1,0,1400,5,85,1110
142, TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 4/5-Doors,23950,19,21684,Petrol,192,1,0,1800,5,19,1185
143, TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,13,21428,Petrol,110,1,0,1600,5,85,1130
144,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA COMF 4/5-Doors,18500,16,20629,Petrol,110,1,0,1600,4,85,1090
145,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,15,20270,Petrol,110,1,0,1600,5,85,1130
146, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,16450,16,20105,Petrol,97,0,0,1400,5,85,1110
147, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMF AUT 4/5-Doors,20500,20,20000,Petrol,110,0,1,1600,5,100,1165
148,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC BNS 4/5-Doors,24500,13,19988,Petrol,110,1,0,1600,5,85,1130
149,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19450,19,18328,Petrol,110,0,0,1600,5,85,1130
150,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL AUT4 4/5-Doors,20950,14,17896,Petrol,110,1,1,1600,4,85,1150
151, TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17200,20,17300,Petrol,97,1,0,1400,5,85,1110
152,TOYOTA Corolla 1.6 16V VVT I 5DR SOL BNS 4/5-Doors,19950,19,17038,Petrol,110,0,0,1600,5,85,1130
153,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA BNS 4/5-Doors,18450,10,13747,Petrol,97,1,0,1400,5,85,1110
154, TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19500,12,13634,Petrol,110,1,0,1600,5,85,1115
155,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21750,13,13178,Petrol,110,1,0,1600,5,85,1130
156,TOYOTA Corolla 1.4 16V VVT I SEDAN TERRA COMF 4/5-Doors,16868,15,13157,Petrol,97,1,0,1400,4,85,1085
157,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,19500,16,13000,Petrol,110,1,0,1600,4,85,1105
158,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18900,11,12500,Petrol,110,1,0,1600,5,85,1115
159,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19750,17,11999,Petrol,110,1,0,1600,5,85,1130
160,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,19750,16,11754,Petrol,110,0,1,1600,5,100,1180
161,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,18950,16,11000,Petrol,110,1,0,1600,4,85,1105
162, TOYOTA Corolla 1.6 16v VVTi Linea Sol 4/5-Doors,20750,17,10000,Petrol,110,0,0,1598,5,85,1105
163,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19600,9,7650,Petrol,110,1,0,1600,5,85,1115
164,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 4/5-Doors,19500,14,6500,Petrol,110,1,0,1600,4,85,1100
165,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17650,11,6155,Petrol,97,1,0,1400,5,85,1110
166,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,14,6000,Petrol,110,0,0,1600,5,85,1130
167,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,19950,14,5459,Petrol,110,1,0,1600,5,85,1130
168,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL BNS AUT4 4/5-Doors,20950,14,5278,Petrol,110,1,1,1600,4,85,1150
169,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,20500,12,5000,Petrol,110,1,0,1600,5,85,1130
170,TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,9,1,Petrol,98,1,0,1400,4,19,1065
171,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort AIRCO NIEUW 5DRS 4/5-Doors,18245,9,1,Petrol,110,1,0,1600,5,19,1075
172,TOYOTA Corolla 1.6-16v VVT-i Executive B.edition 4/5-Doors,23750,8,11000,Petrol,110,1,0,1600,5,85,1130
173,TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,19500,8,10077,Petrol,97,1,0,1400,5,85,1110
174, TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,18950,8,10000,Petrol,97,1,0,1400,5,85,1110
175,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,9788,Petrol,110,1,0,1600,5,85,1130
176,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,8,8574,Petrol,110,1,0,1600,5,85,1130
177,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18950,8,7000,Petrol,110,0,0,1600,5,85,1115
178,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,19950,7,6250,Petrol,110,1,0,1600,5,85,1115
179,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21950,8,5000,Petrol,110,1,0,1600,5,85,1130
180,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,22500,6,3000,Petrol,110,0,0,1600,5,85,1130
181,TOYOTA Corolla 1.6 VVT-I 5DR LINEA TERRA 4/5-Doors,18500,7,2000,Petrol,110,0,0,1600,5,19,1075
182,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18700,7,450,Petrol,97,1,0,1400,5,85,1110
183,TOYOTA Corolla 1.4 16V 5DR TERRA 4/5-Doors,21125,2,225,Petrol,97,1,0,1400,5,85,1110
184,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,21500,2,15,Petrol,110,1,0,1600,5,85,1130
185, TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,17795,1,1,Petrol,98,1,0,1400,4,19,1100
186,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort NIEUW AIRCO 5drs 4/5-Doors,18245,1,1,Petrol,110,1,0,1600,5,19,1075
187,TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,6950,43,243000,Diesel,69,0,0,1900,3,185,1110
188,TOYOTA Corolla 2.0 D4D SEDAN SOL 4/5-Doors,9500,38,180638,Diesel,90,0,0,2000,4,210,1160
189,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,11950,40,179860,Diesel,90,1,0,2000,5,210,1205
190,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,7750,43,178858,CNG,110,0,0,1600,3,197,1084
191,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,11950,40,161000,Diesel,69,1,0,1900,3,185,1105
192,TOYOTA Corolla 1.8D Stationwagen,4350,44,158320,Diesel,69,0,0,1800,5,64,1110
193,TOYOTA Corolla 1.8D 4/5-Doors,4750,44,131273,Diesel,69,1,0,1800,5,64,1110
194,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,11750,40,130062,Diesel,69,1,0,1900,5,185,1140
195,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,13250,41,123425,Diesel,69,1,0,1900,5,185,1140
196,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,37,118217,Petrol,110,1,0,1600,5,85,1075
197,TOYOTA Corolla 1.9 D Sedan 4/5-Doors,11900,44,110000,Diesel,69,1,0,1900,5,185,1095
198,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,39,108847,Diesel,90,1,0,2000,5,210,1205
199,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,42,105699,Petrol,97,1,0,1400,3,69,1025
